"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"1 family dwelling","5","2023-08-30T14:59:07.000","1","5","202308305627","R-3","2023-09-08T04:14:49.000","reroofing","Y","0","Ulloa","4","St","","020A","","2023-08-30T14:59:07.000","","","0","","2428","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-30T15:22:08.000","8","2023-08-30T00:00:00.000","94116","1677240135660","wood frame (5)","","N","12000","2631","1 family dwelling","1","{""coordinates"":[-122.484762651,37.740636371],""type"":""Point""}","","filed","wood frame (5)"
"food/beverage hndlng","5","2023-08-30T16:12:11.000","2","5","202308305645","R-3,B","2023-09-08T04:14:49.000","abe #202001150935 comply w/ sf accessiblity entry program 51-16. req for slope landing at entry door exceeding 2% with power door operator. adjust door opening force to 5lbs or less. exterior work only","Y","0","Harrison","6","St","","074","","2023-08-30T16:12:11.000","","","2","","3525","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","South of Market","R-3,B","otc alterations permit","2023-08-30T16:15:07.000","8","2023-08-30T00:00:00.000","94103","1677261156837","wood frame (5)","","N","2000","1351","food/beverage hndlng","2","{""coordinates"":[-122.410612908,37.771864643],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-08-30T10:07:36.000","2","5","202308305564","R-3","2023-09-08T04:14:49.000","window frame repair, exterior , replace with new wood in kind. not visible from the street. same size same location","Y","5400","Duboce","8","Av","","098","","2023-08-30T09:34:30.000","","2023-08-30T10:07:36.000","0","","1260","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Haight Ashbury","R-3","otc alterations permit","2023-08-30T10:04:12.000","8","2023-08-30T00:00:00.000","94117","1677173502911","wood frame (5)","","N","5400","716","2 family dwelling","2","{""coordinates"":[-122.435517664,37.769320865],""type"":""Point""}","","issued","wood frame (5)"
"office","5","2023-08-30T11:21:57.000","0","5","202308305583","B","2023-09-08T04:14:49.000","tenant improvement on the 1st, 2nd, and 3rd fl to include construction of new offices, lighting, restrooms, millowrk and finsihes. mep, life saftey and fire sprinkler under sep permit","Y","0","Pacific","3","Av","","001","","2023-08-30T11:21:57.000","","","2","","0174","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Chinatown","B","otc alterations permit","2023-08-31T08:34:06.000","8","2023-08-30T00:00:00.000","94111","1677192364055","wood frame (5)","","N","958734","315","office","0","{""coordinates"":[-122.401112142,37.797484326],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-08-30T09:28:48.000","8","5","202308305560","R-2","2023-09-08T04:14:49.000","fire system replacement & mandatory low frequency horn upgrade to meet sffc 2022 sec 1103.7.6.1","Y","0","Union","3","St","","001","","2023-08-30T09:28:48.000","Y","","2","","0118","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Chinatown","R-2","otc alterations permit","2023-08-30T10:22:56.000","8","2023-08-30T00:00:00.000","94133","167717059388","wood frame (5)","","N","16800","701","apartments","8","{""coordinates"":[-122.411032977,37.800051576],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-30T15:58:42.000","1","5","202308305640","R-3","2023-09-08T04:14:49.000","to comply with complaint # 202311870, to remove illegal bathroom and cabinets on the ground floor.","Y","0","29th","4","Av","","022","","2023-08-30T15:58:42.000","","","2","","2357","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-30T16:15:31.000","8","2023-08-30T00:00:00.000","94116","1677255132455","wood frame (5)","","N","1000","2358","1 family dwelling","1","{""coordinates"":[-122.48613167,37.743354231],""type"":""Point""}","","filed","wood frame (5)"
"warehouse,no frnitur","3","2023-08-30T15:01:53.000","0","3","202308305629","S-2","2023-09-08T04:14:49.000","rev to pa# 2022-1006-3841; revise antenna model from air 6449 to air 6419 revise  rru from model 4424 to 4460 install baseband 6630 and rp 6651 inside (e) cabinet","Y","1","Bryant","9","St","","002","","2023-08-30T15:01:53.000","","","2","","3923","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Mission","S-2","otc alterations permit","2023-08-31T11:24:46.000","8","2023-08-30T00:00:00.000","94103","1677243168055","constr type 3","","N","1","1398","warehouse,no frnitur","0","{""coordinates"":[-122.411169272,37.768382535],""type"":""Point""}","","filed","constr type 3"
"apartments","3","2023-08-30T13:20:45.000","105","3","202308305606","R-2","2023-09-08T04:14:49.000","sidewalk replacement and waterproofing over sub-sidewalk basement roof slab. pole support for new street light and traffic signal.","Y","120407","Eddy","5","St","","017","","2023-08-30T13:20:45.000","","","2","","0339","in-house","parcel_centroid","","6","6","2023-09-07T23:55:00.000","Tenderloin","R-2","otc alterations permit","2023-09-05T10:37:05.000","8","2023-08-30T00:00:00.000","94102","167721569965","constr type 3","","N","120407","201","apartments","105","{""coordinates"":[-122.411269132,37.78391581],""type"":""Point""}","","filed","constr type 3"
"1 family dwelling","5","2023-08-31T08:48:43.000","1","5","202308305635","R-3","2023-09-08T04:14:49.000","administrative permit to adjust valuation of pa #202211287231 from $20,000 to $60,000 per request of building inspector michael chan.","Y","40000","Congdon","11","St","","017","","2023-08-30T15:24:40.000","","2023-08-31T08:48:43.000","0","","5871","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-08-31T08:46:29.000","8","2023-08-30T00:00:00.000","94112","1677249189803","wood frame (5)","","N","1","111","1 family dwelling","1","{""coordinates"":[-122.425859504,37.730570189],""type"":""Point""}","","issued","wood frame (5)"
"laundry/laundromat","5","2023-08-30T14:27:32.000","3","5","202308305623","F-1","2023-09-08T04:14:49.000","for compliance with the abe program accessible business entrance: add doorbell on side of building adjacent to the entrance and replace entrance door handle: abe 202211095245.","Y","0","Stockton","3","St","","023A","","2023-08-30T14:27:32.000","","","0","","0077","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","North Beach","F-1","otc alterations permit","2023-08-30T15:01:59.000","8","2023-08-30T00:00:00.000","94133","167723657858","wood frame (5)","","N","100","1800","laundry/laundromat","3","{""coordinates"":[-122.409355102,37.802460532],""type"":""Point""}","","filed","wood frame (5)"
"residential hotel","5","2023-08-30T11:31:51.000","2","5","202308305571","R-2","2023-09-08T04:14:49.000","upgrade e fire alarm system by replacing it with 1 fire alarm control unit 1 wiereless communicator next to facu 1 manual pull station 8 smoke det, 8 horn strobes, 12 low feq horn at all res sleeping area to comply with sffc sec 1103.7.6.1","Y","23443","14th","9","St","","088","","2023-08-30T10:12:31.000","Y","2023-08-30T11:31:51.000","2","","3548","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","R-2","otc alterations permit","2023-08-30T11:26:03.000","8","2023-08-30T00:00:00.000","94103","1677179247094","wood frame (5)","","N","16000","215","residential hotel","2","{""coordinates"":[-122.418256696,37.768187777],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-31T09:02:00.000","1","5","202308305638","R-3","2023-09-08T04:14:49.000","kitchen remodel in kind (no structural changes).","Y","36000","Kirkham","7","St","","035A","","2023-08-30T15:51:10.000","","2023-08-31T09:02:00.000","0","","1857","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-08-31T08:59:01.000","8","2023-08-30T00:00:00.000","94122","1677254117489","wood frame (5)","","N","20000","725","1 family dwelling","1","{""coordinates"":[-122.468709248,37.759947278],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-08-30T15:56:28.000","2","5","202308305628","R-3","2023-09-08T04:14:49.000","replace siding on front of house online, like for like, also, front of home replace 12 windows like for like, nail-fin anderson fiberlgass material. siding is james-hardie.","Y","28324","Monterey","7","Bl","","004","","2023-08-30T15:00:12.000","","2023-08-30T15:56:28.000","0","","3092","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-30T15:52:02.000","8","2023-08-30T00:00:00.000","94127","1677241152120","wood frame (5)","","N","28234","410","2 family dwelling","2","{""coordinates"":[-122.444622359,37.731837906],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","2","2023-09-06T14:45:00.000","","2","202308305612","A-2,A-1","2023-09-08T04:14:49.000","add 2'h fence extension on top of existing 8'h fence to creat 10'h fence @ south and partial west sides of existing roof deck.","Y","8000","19th","10","St","","001","","2023-08-30T13:53:56.000","","2023-09-06T14:45:00.000","2","","4059","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Potrero Hill","A-2,A-1","otc alterations permit","2023-09-06T14:42:52.000","8","2023-08-30T00:00:00.000","94107","1677224169245","constr type 2","","N","5000","601","food/beverage hndlng","","{""coordinates"":[-122.388966634,37.761520892],""type"":""Point""}","","issued","constr type 2"
"food/beverage hndlng","1","2023-08-30T14:26:32.000","","1","202308305620","B,M","2023-09-08T04:14:49.000","suite 101: demolition of (e) casework and booths, new bar casework, new partition walls, new all infill, new butler door, new light fixtures and new bar and handwash sinks. patch and repair of (e) floor tiles, new paint finish","Y","0","Embarcadero Center","3","","","044","","2023-08-30T14:26:32.000","","","2","","0233","in-house","parcel_centroid","","45","45","2023-09-07T23:55:00.000","Financial District/South Beach","B,M","otc alterations permit","2023-09-06T09:42:34.000","8","2023-08-30T00:00:00.000","","167723363351","constr type 1","","N","200000","4","food/beverage hndlng","","{""coordinates"":[-122.396063297,37.795030433],""type"":""Point""}","","filed","constr type 1"
"","5","2023-08-30T15:31:57.000","","","202308305577","","2023-09-08T04:14:49.000","2 new electric signs roche bobois","Y","2100","08th","6","St","","007","","2023-08-30T10:50:56.000","","2023-08-30T15:31:57.000","2","","3799","in-house","parcel_centroid","","3","","2023-09-07T23:55:00.000","Mission Bay","R-2,M","sign - erect","2023-08-30T15:24:42.000","4","2023-08-30T00:00:00.000","94107","1677183449783","","","N","2100","701","retail sales","","{""coordinates"":[-122.40280583,37.770290134],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-30T14:26:42.000","1","5","202308305621","R-3","2023-09-08T04:14:49.000","reconfigure rear deck & stairs. turn (e) family room into office","Y","18000","Lawton","7","St","","039","","2023-08-30T14:26:42.000","","","2","","1936","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-08-30T15:36:05.000","8","2023-08-30T00:00:00.000","94122","1677234121225","wood frame (5)","","N","15000","121","1 family dwelling","1","{""coordinates"":[-122.464197179,37.758288812],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-08-30T12:16:03.000","2","5","202308305584","R-3","2023-09-08T04:14:49.000","install a new sprinkler monitring system per nfpa 72-2022 section 23.8.5.5.1 with 1 fire alarm control unit, 1 wireless commercial fire communication, 1 smoke detector above facu, 1 manual pull station. ref pa# 201705197060.","Y","12723","27th","4","Av","","046","","2023-08-30T11:22:03.000","Y","2023-08-30T12:16:03.000","2","","2023","in-house","parcel_centroid","","2","3","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-30T12:12:10.000","8","2023-08-30T00:00:00.000","94122","1677193122332","wood frame (5)","","N","4800","1722","1 family dwelling","1","{""coordinates"":[-122.484812862,37.755259663],""type"":""Point""}","","issued","wood frame (5)"
"retail sales","5","2023-08-30T11:16:33.000","","5","202308305582","M,B","2023-09-08T04:14:49.000","ste 270, 272, 273 & 256, interior ti @ 2nd flr. (n) non load bearing partitions & finishes. install showroom appliances w/millwork.","Y","0","Henry Adams","6","St","","001","","2023-08-30T11:16:33.000","","","2","","3915","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Mission Bay","M,B","otc alterations permit","2023-08-30T12:32:11.000","8","2023-08-30T00:00:00.000","94103","1677191168013","wood frame (5)","","N","350000","101","retail sales","","{""coordinates"":[-122.403383866,37.768393311],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-05T13:55:39.000","1","5","202308305633","R-3","2023-09-08T04:14:49.000","installation of 2-new bathroom @ 2nd flr master bedroom, 2-new bathroom @ 3rd flr for a total of 4 bathrooms. replace front window to be egress compliant w/ casement sdl.","Y","58950","17th","1","Av","","027","","2023-08-30T15:09:42.000","","2023-09-05T13:55:39.000","2","","1448","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-09-05T13:35:02.000","8","2023-08-30T00:00:00.000","94118","1677247100139","wood frame (5)","","N","18000","352","1 family dwelling","1","{""coordinates"":[-122.475908472,37.781457739],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-06T12:09:37.000","2","5","202308305587","R-3","2023-09-08T04:14:49.000","rev pa 202204202656 -convert tub to shower pan, add (n) dishwasher to kitchen, alter closet small wall per plan.","Y","10000","Green","3","St","","034","","2023-08-30T11:36:23.000","","2023-09-06T12:09:37.000","2","","0129","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Chinatown","R-3","otc alterations permit","2023-09-06T12:00:20.000","8","2023-08-30T00:00:00.000","94133","1677195349533","wood frame (5)","","N","1000","721","2 family dwelling","2","{""coordinates"":[-122.410997674,37.799069679],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-30T14:51:19.000","30","5","202308305625","R-2","2023-09-08T04:14:49.000","kitchen remodel. lay out stays the same. replace cabinets. replace sink. swap out a couple lights.","Y","45000","Minnesota","10","St","","153","","2023-08-30T14:51:19.000","","","0","","4228","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Potrero Hill","R-2","otc alterations permit","2023-08-30T15:17:19.000","8","2023-08-30T00:00:00.000","94107","1677238511083","wood frame (5)","26","N","26000","1310","apartments","30","{""coordinates"":[-122.390068347,37.753699914],""type"":""Point""}","","filed","wood frame (5)"
